what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1668825933351
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1668825933366
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1668825933366
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1668825933382
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1668825933382
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1668825933398
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1668825933398
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1668825933398
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1668825933398
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1668825933398
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1668825933404
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1668825933420
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1668825933420
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1668825933420
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1668825933420
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1668825933420
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1668825933420
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1668825933420
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1668825933451
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1668825933451
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1668825933467
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1668825933467
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1668825933467
os,sysinfo,,,"win32",1668825933467
arch,sysinfo,,,"x86",1668825933467
ws,sysinfo,,,"win32",1668825933467
locale,sysinfo,,,"en_GB",1668825933467
processors,sysinfo,,,"4",1668825933467
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1668825933467
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1668825933467
java.specification.name,sysinfo,,,"Java Platform API Specification",1668825933467
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1668825933467
java.specification.version,sysinfo,,,"1.6",1668825933467
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1668825933467
java.version,sysinfo,,,"1.6.0_23",1668825933467
java.vm.info,sysinfo,,,"mixed mode",1668825933467
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1668825933467
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1668825933467
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1668825933467
java.vm.specification.version,sysinfo,,,"1.0",1668825933467
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1668825933467
java.vm.version,sysinfo,,,"19.0-b09",1668825933467
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1668825933482
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1668825933636
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1668825933821
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1668825934084
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1668825934369
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1668825934585
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1668825940453
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1668825943853
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1668826195909
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1668826196495
